node_id,longitude,latitude,girvan_newman_community
8004045341,12.3196017,45.4322274,0
8004045343,12.3195648,45.4323418,0
316148259,12.3373872,45.4377574,2
316148260,12.3371659,45.4375952,2
8004045360,12.3160487,45.4321523,0
5186423345,12.3197399,45.436439,4
5186423346,12.3198836,45.4360118,4
5186423347,12.3188728,45.4344175,0
9214560823,12.3320179,45.4295236,5
3294857784,12.3421828,45.4388495,9
3294857786,12.3419835,45.4389012,9
3294857791,12.3416423,45.43898,9
3294857793,12.3412757,45.439064,9
3294857795,12.3410546,45.4391253,9
9214560829,12.3308994,45.4295528,5
3294857799,12.3409247,45.4393624,9
3294857806,12.3412812,45.4395125,9
8128465492,12.3328281,45.4359306,14
1521912411,12.3404247,45.437077,2
4453796445,12.3389246,45.4402383,1
49547871,12.337994,45.443477,1
4453796450,12.3394957,45.4402625,1
3294857834,12.342716,45.441823,9
365202051,12.3346069,45.4362434,2
1920010885,12.341511,45.4337413,2
1920010886,12.3418689,45.433797,2
1920010889,12.3414248,45.4342764,2
1920010890,12.3416033,45.4342831,2
1920010891,12.3418154,45.4343674,2
1920010898,12.3387726,45.4349304,2
1920010901,12.338848,45.4349633,2
1920010903,12.3418517,45.4349924,2
1920010906,12.338543,45.4350173,2
1920010907,12.3386664,45.4350639,2
1920010908,12.3390952,45.4350717,2
1920010910,12.3391496,45.4350934,2
1920010911,12.3413047,45.4350758,2
4453796511,12.3390491,45.4409913,1
1920010914,12.3401608,45.43518,2
1854966430,12.3478865,45.4341004,7
1920010916,12.3421217,45.4352279,9
1920010917,12.3420056,45.4352341,9
1920010918,12.3412564,45.4352385,2
1920010926,12.3424791,45.4353695,9
1920010928,12.3417255,45.435431,2
1920010932,12.3392522,45.4354884,2
1920010934,12.3421458,45.4354921,9
1920010936,12.3421605,45.4355071,9
1920010937,12.3425738,45.4354163,9
1920010938,12.3383445,45.4355508,2
1920010940,12.3384837,45.4355551,2
1920010941,12.3421941,45.4355858,9
1920010943,12.3389989,45.4357072,2
4453796543,12.34059,45.4414278,1
4453796545,12.3404416,45.4414866,1
10574760653,12.3394888,45.4333011,2
10574760665,12.3395741,45.4331442,2
3389131487,12.3273331,45.4403626,11
298024089,12.3348352,45.4420819,1
5403282193,12.3403702,45.4352334,2
10178890521,12.3647238,45.4269454,12
10178890522,12.3636903,45.4268747,12
138316571,12.3173736,45.4325968,0
10178890524,12.3636181,45.4267191,12
138316573,12.3173871,45.4324879,0
10178890523,12.3647132,45.4269922,12
5007084321,12.3260365,45.4359547,3
5007084324,12.3221972,45.4404894,3
5007084325,12.3222651,45.4404322,3
4793633575,12.3270134,45.436277,3
5159226164,12.3318797,45.4286659,5
5159226165,12.3318716,45.4283893,5
5159226166,12.3320394,45.4284068,5
8062208838,12.3205129,45.4430567,10
3586722634,12.3496354,45.4390146,7
5167778648,12.3306892,45.4399333,11
5342235492,12.3563487,45.4292583,12
5342235494,12.3566607,45.429203,12
5342235496,12.3568268,45.4288791,12
9214560824,12.3316095,45.4295167,5
5342235498,12.3569236,45.4287229,12
5342235500,12.3570954,45.4283797,12
5342235501,12.3568966,45.4283295,12
5342235502,12.3562328,45.4289951,12
9214560825,12.3314371,45.4295249,5
9214560827,12.3309308,45.4295516,5
9214560828,12.3310523,45.4295469,5
5620042625,12.3323941,45.4397242,13
5620042628,12.3329379,45.4398647,13
5620042632,12.3327698,45.4396774,13
5620042633,12.3326138,45.4397567,13
5476875858,12.3195057,45.4347016,0
1851649033,12.323172,45.4357468,3
13186763707,12.3207249,45.4381121,3
13186763714,12.3208571,45.4381618,3
13186763723,12.3206128,45.4382935,3
13186763731,12.3211738,45.438185,3
13186763735,12.3210115,45.4383481,3
13186763737,12.3208547,45.4382757,3
13186763747,12.3205435,45.4383554,3
1920437225,12.3459221,45.4381755,7
13186763761,12.3201813,45.4384342,3
13186763767,12.3204143,45.4388172,3
13186763771,12.320616,45.4388748,3
10581478401,12.3449371,45.4352972,7
10581478404,12.3444624,45.435701,7
13186763781,12.3206931,45.4384823,3
13186763784,12.3206895,45.4385003,3
13186763786,12.320596,45.4385924,3
13186763789,12.3204759,45.4385366,3
13186763791,12.3205855,45.438427,3
13186763793,12.3203177,45.4387084,3
13186763796,12.3202257,45.43829,3
13186763801,12.3205596,45.4380174,3
13186763805,12.3207919,45.4380604,3
13186763813,12.3203375,45.4381125,3
13186763815,12.3205913,45.4382491,3
1997114408,12.3440818,45.4339997,2
13186763817,12.3205467,45.4382992,3
13186763819,12.320611,45.4383443,3
1522371629,12.330166,45.4440155,6
13186763823,12.3210866,45.438673,3
4845243466,12.3306685,45.4399437,11
4845243469,12.3309802,45.4400427,11
6224562690,12.3586391,45.431654,8
6224562696,12.3581564,45.4320886,8
8122043515,12.358663,45.4335773,8
5365599358,12.3168078,45.4380769,4
6224562698,12.3583317,45.4317158,8
4847897732,12.3269267,45.4381988,3
8021314692,12.3341617,45.4427126,6
4827843722,12.3343992,45.4306041,5
241791850,12.3395522,45.4370534,2
49548512,12.3395021,45.4420916,1
6224562717,12.3585494,45.4319498,8
2591390161,12.3610326,45.4265719,12
6224562718,12.3583166,45.4317875,8
4827843823,12.3343246,45.4307908,5
1235881201,12.3162413,45.4340027,0
7431128513,12.3076738,45.44223,4
4359032067,12.3249223,45.4372482,3
1235881243,12.3160651,45.4338255,0
