node_id,longitude,latitude,infomap_community
1331529931,12.3274759,45.4450368,2
5373757664,12.3573284,45.4331896,3
5373757666,12.3572572,45.4330299,3
5373757667,12.3573971,45.4328098,3
7133661425,12.3247204,45.4477754,2
7133661426,12.3247084,45.4477558,2
7133661427,12.3247615,45.4477355,2
7133661428,12.3246895,45.4476326,2
7133661429,12.3247805,45.4477627,2
49547520,12.3383693,45.4438302,0
49547521,12.338842,45.443725,0
1927219469,12.319764,45.4403552,2
1927219474,12.3200655,45.4407263,2
1927219475,12.3208178,45.4408665,2
1927219479,12.3210338,45.4410566,2
1927219480,12.3206728,45.4412611,2
1927219482,12.3211464,45.4416749,2
10003908886,12.3148571,45.440108,5
5217650981,12.3349983,45.4350203,0
679479591,12.3442653,45.4385636,0
2732099893,12.3264066,45.438269,1
4370729270,12.3317557,45.436521,4
4370729275,12.3345897,45.4374995,4
2732099904,12.329551,45.4389538,4
2732099902,12.3243333,45.4385384,1
8006011204,12.3241797,45.4324042,1
2732099909,12.3294953,45.4390349,4
2732099913,12.3291972,45.4391765,4
1660324170,12.3409573,45.4414509,0
2732099919,12.3292308,45.4392032,4
2732099927,12.3288959,45.4393523,4
7578650971,12.337605,45.4335812,0
4183624047,12.3317964,45.4461087,2
4183624048,12.3310004,45.4456819,2
4183624049,12.331245,45.4459066,2
4803889582,12.3283476,45.4365054,1
4803889583,12.3278208,45.436572,1
4919658949,12.3578118,45.4283075,3
4919658953,12.3579485,45.4284605,3
6225168845,12.3577397,45.4319151,3
8838351311,12.3320443,45.4286626,6
27232724,12.3343508,45.4411572,0
2514782680,12.332333,45.4443884,2
13495011799,12.3323166,45.4441075,0
553322971,12.3153108,45.4413159,1
6225168855,12.3579671,45.4317062,3
27363816,12.3415012,45.4375736,0
3813050868,12.3229933,45.4382878,1
5178350754,12.3156559,45.4331975,1
8004045336,12.3201853,45.4351059,1
8004045339,12.3193613,45.4319882,1
8004045341,12.3196017,45.4322274,1
8004045343,12.3195648,45.4323418,1
316148259,12.3373872,45.4377574,0
316148260,12.3371659,45.4375952,0
8004045360,12.3160487,45.4321523,1
5186423345,12.3197399,45.436439,1
5186423346,12.3198836,45.4360118,1
5186423347,12.3188728,45.4344175,1
9214560823,12.3320179,45.4295236,6
3294857784,12.3421828,45.4388495,0
3294857786,12.3419835,45.4389012,0
3294857791,12.3416423,45.43898,0
3294857793,12.3412757,45.439064,0
3294857795,12.3410546,45.4391253,0
9214560829,12.3308994,45.4295528,6
3294857799,12.3409247,45.4393624,0
3294857806,12.3412812,45.4395125,0
8128465492,12.3328281,45.4359306,0
1521912411,12.3404247,45.437077,0
4453796445,12.3389246,45.4402383,0
49547871,12.337994,45.443477,0
4453796450,12.3394957,45.4402625,0
3294857834,12.342716,45.441823,0
365202051,12.3346069,45.4362434,0
1920010885,12.341511,45.4337413,0
1920010886,12.3418689,45.433797,0
1920010889,12.3414248,45.4342764,0
1920010890,12.3416033,45.4342831,0
1920010891,12.3418154,45.4343674,0
1920010898,12.3387726,45.4349304,0
1920010901,12.338848,45.4349633,0
1920010900,12.3422224,45.43497,0
1920010903,12.3418517,45.4349924,0
1920010906,12.338543,45.4350173,0
1920010907,12.3386664,45.4350639,0
1920010908,12.3390952,45.4350717,0
1920010910,12.3391496,45.4350934,0
1920010911,12.3413047,45.4350758,0
4453796511,12.3390491,45.4409913,0
1920010914,12.3401608,45.43518,0
1854966430,12.3478865,45.4341004,0
1920010916,12.3421217,45.4352279,0
1920010917,12.3420056,45.4352341,0
1920010918,12.3412564,45.4352385,0
1920010926,12.3424791,45.4353695,0
1920010928,12.3417255,45.435431,0
1920010932,12.3392522,45.4354884,0
1920010934,12.3421458,45.4354921,0
1920010936,12.3421605,45.4355071,0
1920010937,12.3425738,45.4354163,0
1920010938,12.3383445,45.4355508,0
1920010940,12.3384837,45.4355551,0
1920010941,12.3421941,45.4355858,0
1920010943,12.3389989,45.4357072,0
4453796543,12.34059,45.4414278,0
4453796545,12.3404416,45.4414866,0
10574760653,12.3394888,45.4333011,0
10574760665,12.3395741,45.4331442,0
3389131487,12.3273331,45.4403626,4
298024089,12.3348352,45.4420819,0
5403282193,12.3403702,45.4352334,0
10178890521,12.3647238,45.4269454,3
10178890522,12.3636903,45.4268747,3
138316571,12.3173736,45.4325968,1
10178890524,12.3636181,45.4267191,3
138316573,12.3173871,45.4324879,1
10178890523,12.3647132,45.4269922,3
5007084321,12.3260365,45.4359547,1
5007084324,12.3221972,45.4404894,2
5007084325,12.3222651,45.4404322,2
4793633575,12.3270053,45.43627,1
5159226164,12.3318797,45.4286659,6
5159226165,12.3318716,45.4283893,6
5159226166,12.3320394,45.4284068,6
8062208838,12.3205129,45.4430567,2
3586722634,12.3496354,45.4390146,0
5167778648,12.3306892,45.4399333,4
9214560824,12.3316095,45.4295167,6
9214560825,12.3314371,45.4295249,6
9214560827,12.3309308,45.4295516,6
9214560828,12.3310523,45.4295469,6
5620042625,12.3323941,45.4397242,4
5620042628,12.3329379,45.4398647,4
5620042632,12.3327641,45.4396798,4
5620042633,12.3326138,45.4397567,4
5476875858,12.3195057,45.4347016,1
1851649033,12.323172,45.4357468,1
13186763707,12.3207249,45.4381121,1
13186763714,12.3208571,45.4381618,1
13186763723,12.3206128,45.4382935,1
13186763731,12.3211738,45.438185,1
13186763735,12.3210115,45.4383481,1
13186763737,12.3208547,45.4382757,1
13186763747,12.3205435,45.4383554,1
1920437225,12.3459221,45.4381755,0
13186763757,12.3204317,45.4383041,1
13186763761,12.3201813,45.4384342,1
13186763767,12.3204143,45.4388172,1
13186763771,12.320616,45.4388748,1
10581478401,12.3449371,45.4352972,0
10581478404,12.3444624,45.435701,0
13186763781,12.3206931,45.4384823,1
13186763784,12.3206895,45.4385003,1
13186763786,12.320596,45.4385924,1
13186763789,12.3204759,45.4385366,1
13186763791,12.3205855,45.438427,1
13186763793,12.3203177,45.4387084,1
13186763796,12.3202257,45.43829,1
13186763801,12.3205596,45.4380174,1
13186763805,12.3207919,45.4380604,1
13186763813,12.3203375,45.4381125,1
13186763815,12.3205913,45.4382491,1
1997114408,12.3440818,45.4339997,0
13186763817,12.3205467,45.4382992,1
13186763819,12.320611,45.4383443,1
1522371629,12.330166,45.4440155,2
13186763823,12.3210866,45.438673,1
6224562685,12.357843,45.4319407,3
4845243466,12.3306685,45.4399437,4
4845243469,12.3309802,45.4400427,4
6224562690,12.3586391,45.431654,3
6224562696,12.3581564,45.4320886,3
8122043515,12.358663,45.4335773,3
5365599358,12.3168078,45.4380769,1
6224562698,12.3583317,45.4317158,3
4847897732,12.3269267,45.4381988,1
8021314692,12.3341617,45.4427126,0
4827843722,12.3343992,45.4306041,6
315260256,12.3423955,45.4383784,0
241791850,12.3395522,45.4370534,0
13780094141,12.3310672,45.4376064,4
49548512,12.3395021,45.4420916,0
6224562717,12.3585494,45.4319498,3
6224562718,12.3583166,45.4317875,3
4827843823,12.3343246,45.4307908,6
1235881201,12.3162413,45.4340027,1
7431128513,12.3076738,45.44223,5
4359032067,12.3249223,45.4372482,1
1235881243,12.3160651,45.4338255,1
10221708389,12.3577311,45.4294635,3
1851649114,12.3208441,45.4349555,1
10221708394,12.3574733,45.4293349,3
10221708397,12.3581391,45.4296158,3
2591390185,12.3596853,45.4302231,3
7931628894,12.3210784,45.4441044,2
7931628895,12.3213441,45.4440003,2
7931628896,12.321268,45.4440302,2
7931628898,12.3203206,45.4428671,2
49548643,12.3397258,45.442715,0
7931628899,12.3205209,45.443147,2
7931628901,12.3207134,45.4433296,2
7931628902,12.3205131,45.4434129,2
7931628903,12.3209448,45.4438177,2
7931628906,12.3211939,45.4439358,2
7931628908,12.3209216,45.4438878,2
7931628912,12.3209788,45.4438633,2
14002425201,12.3329935,45.4399864,4
7931628913,12.3209744,45.4439591,2
7931628916,12.3204464,45.444464,2
7931628911,12.3209144,45.4438187,2
14031228301,12.3126248,45.439026,5
5692788121,12.3316401,45.4327388,0
5692788122,12.3314513,45.4330006,0
1856834976,12.3322704,45.4390565,4
1856834977,12.3337977,45.4397986,4
14031228316,12.3122892,45.4391837,5
14031228317,12.3126387,45.4390411,5
14031228335,12.310401,45.4391041,5
14031228336,12.3125633,45.43915,5
14031228332,12.3069425,45.4352334,5
7959809475,12.3210486,45.4352167,1
358518212,12.3383414,45.437779,0
7959809477,12.3251803,45.4339451,1
7959809476,12.3210766,45.4351978,1
358518216,12.3378632,45.4377397,0
1742671305,12.3363483,45.4380524,0
358518219,12.3396473,45.4378057,0
1742671308,12.335301,45.437904,4
358518222,12.3388132,45.4379928,0
7959809484,12.3230691,45.4329354,1
358518224,12.3388378,45.4380508,0
2249166294,12.3257862,45.4407484,4
2249166298,12.3252809,45.4406135,4
2249166299,12.3250106,45.4404782,4
2249166300,12.3249963,45.4405377,4
2249166301,12.3256563,45.4407121,4
10855615965,12.3186394,45.435094,1
10855615966,12.3187534,45.4348382,1
5649829355,12.3354385,45.4382933,4
5649829356,12.3351512,45.4384944,4
5649829357,12.3348742,45.4386882,4
5649829358,12.3347773,45.43862,4
5649829359,12.335059,45.4384233,4
3171356162,12.3213863,45.4436227,2
3171356163,12.3236207,45.4447453,2
7431128570,12.3100767,45.4402763,5
248122904,12.3360686,45.4378056,0
49548825,12.3399177,45.4426823,0
4813229596,12.3186835,45.4386433,1
4813229598,12.3187856,45.4387343,1
2477428252,12.3260039,45.4425205,2
5373759006,12.3571344,45.4329954,3
5373759007,12.3574505,45.4326693,3
7431128573,12.3100448,45.4408264,5
7431128576,12.3043359,45.4382646,5
9094598206,12.3289061,45.4381383,4
10108266853,12.3503735,45.4378863,0
2517372500,12.3477256,45.4368666,0
4470345305,12.3365858,45.4367983,0
3393916506,12.3220389,45.4403462,2
1838206260,12.320993,45.4370069,1
3393916518,12.3193081,45.4428584,2
4470345324,12.3366262,45.4368655,0
3393916536,12.3205883,45.4439578,2
3393916533,12.3210643,45.4437755,2
4730387592,12.325164,45.4417498,4
